storage_astId,storage_contract,storage_label,storage_offset,storage_slot,storage_type
45637,contracts/EPASSVer2.sol:EPASSVer2,_initialized,0,0,t_uint8
45640,contracts/EPASSVer2.sol:EPASSVer2,_initializing,1,0,t_bool
47557,contracts/EPASSVer2.sol:EPASSVer2,__gap,0,1,t_array(t_uint256)50_storage
48403,contracts/EPASSVer2.sol:EPASSVer2,__gap,0,51,t_array(t_uint256)50_storage
45810,contracts/EPASSVer2.sol:EPASSVer2,_name,0,101,t_string_storage
45812,contracts/EPASSVer2.sol:EPASSVer2,_symbol,0,102,t_string_storage
45816,contracts/EPASSVer2.sol:EPASSVer2,_owners,0,103,t_mapping(t_uint256,t_address)
45820,contracts/EPASSVer2.sol:EPASSVer2,_balances,0,104,t_mapping(t_address,t_uint256)
45824,contracts/EPASSVer2.sol:EPASSVer2,_tokenApprovals,0,105,t_mapping(t_uint256,t_address)
45830,contracts/EPASSVer2.sol:EPASSVer2,_operatorApprovals,0,106,t_mapping(t_address,t_mapping(t_address,t_bool))
46672,contracts/EPASSVer2.sol:EPASSVer2,__gap,0,107,t_array(t_uint256)44_storage
46887,contracts/EPASSVer2.sol:EPASSVer2,_ownedTokens,0,151,t_mapping(t_address,t_mapping(t_uint256,t_uint256))
46891,contracts/EPASSVer2.sol:EPASSVer2,_ownedTokensIndex,0,152,t_mapping(t_uint256,t_uint256)
46894,contracts/EPASSVer2.sol:EPASSVer2,_allTokens,0,153,t_array(t_uint256)dyn_storage
46898,contracts/EPASSVer2.sol:EPASSVer2,_allTokensIndex,0,154,t_mapping(t_uint256,t_uint256)
47214,contracts/EPASSVer2.sol:EPASSVer2,__gap,0,155,t_array(t_uint256)46_storage
46856,contracts/EPASSVer2.sol:EPASSVer2,__gap,0,201,t_array(t_uint256)50_storage
45490,contracts/EPASSVer2.sol:EPASSVer2,_owner,0,251,t_address
45610,contracts/EPASSVer2.sol:EPASSVer2,__gap,0,252,t_array(t_uint256)49_storage
934,contracts/EPASSVer2.sol:EPASSVer2,_royaltyFraction,0,301,t_uint96
949,contracts/EPASSVer2.sol:EPASSVer2,_royaltyReceiver,12,301,t_address
992,contracts/EPASSVer2.sol:EPASSVer2,_tokenURI,0,302,t_string_storage
1020,contracts/EPASSVer2.sol:EPASSVer2,contractURI,0,303,t_string_storage
1035,contracts/EPASSVer2.sol:EPASSVer2,_tokenIdCounter,0,304,t_struct(Counter)47564_storage
1074,contracts/EPASSVer2.sol:EPASSVer2,allowListMemberMintCount,0,305,t_mapping(t_address,t_uint256)
1182,contracts/EPASSVer2.sol:EPASSVer2,mintLimit,0,306,t_uint256
1213,contracts/EPASSVer2.sol:EPASSVer2,allowListPrice,0,307,t_uint256
1227,contracts/EPASSVer2.sol:EPASSVer2,publicPrice,0,308,t_uint256
1259,contracts/EPASSVer2.sol:EPASSVer2,_merkleRoot,0,309,t_bytes32
1273,contracts/EPASSVer2.sol:EPASSVer2,allowlistedMemberMintLimit,0,310,t_uint256
1348,contracts/EPASSVer2.sol:EPASSVer2,isPublicMintPaused,0,311,t_bool
1399,contracts/EPASSVer2.sol:EPASSVer2,isAllowlistMintPaused,1,311,t_bool
1451,contracts/EPASSVer2.sol:EPASSVer2,_distributees,0,312,t_array(t_address)dyn_storage
1453,contracts/EPASSVer2.sol:EPASSVer2,_distributionRate,0,313,t_uint256
1602,contracts/EPASSVer2.sol:EPASSVer2,contractAllowListOfSetapprovalforall,0,314,t_mapping(t_address,t_bool)
1606,contracts/EPASSVer2.sol:EPASSVer2,contractBlockListOfTransfer,0,315,t_mapping(t_address,t_bool)
